name,year,rating,votes,reviews,Title Type
28 Years Later,2025,6.7,131605,https://www.imdb.com/title/tt10548174/,Movie
5lbs of Pressure,2024,5.3,1838,https://www.imdb.com/title/tt1524515/,Movie
65,2023,5.4,102749,https://www.imdb.com/title/tt12261776/,Movie
6 Hours Away,2024,3.9,274,https://www.imdb.com/title/tt22897544/,Movie
A Bit of Light,2022,6,301,https://www.imdb.com/title/tt15662700/,Movie
A Bug's Life,1998,7.2,331027,https://www.imdb.com/title/tt0120623/,Movie
A Chef's Deadly Revenge,2024,4.2,238,https://www.imdb.com/title/tt31940959/,TV Movie
A Godwink Christmas: Miracle of Love,2021,6.1,1081,https://www.imdb.com/title/tt16047114/,TV Movie
A Haunting in Venice,2023,6.5,135483,https://www.imdb.com/title/tt22687790/,Movie
A Man Called Otto,2022,7.5,199022,https://www.imdb.com/title/tt7405458/,Movie
A Princess for Christmas,2011,6.3,9538,https://www.imdb.com/title/tt1083448/,TV Movie
A Quiet Passion,2016,6.4,6589,https://www.imdb.com/title/tt2392830/,Movie
A Royal Makeover,2023,5.3,260,https://www.imdb.com/title/tt28091750/,TV Movie
A Summer Story,1988,7.2,1351,https://www.imdb.com/title/tt0096189/,Movie
Aftermath,2024,5.2,4676,https://www.imdb.com/title/tt26545708/,Movie
Against All Enemies,2023,7.3,432,https://www.imdb.com/title/tt16375956/,Movie
Aged,2023,3.7,344,https://www.imdb.com/title/tt17044020/,Movie
Air,2023,7.4,187692,https://www.imdb.com/title/tt16419074/,Movie
Alice Through the Looking Glass,2016,6.2,131156,https://www.imdb.com/title/tt2567026/,Movie
All Dirt Roads Taste of Salt,2023,5.9,1385,https://www.imdb.com/title/tt11534720/,Movie
All of Us Strangers,2023,7.6,74414,https://www.imdb.com/title/tt21192142/,Movie
All Summer Long,2019,6.4,1224,https://www.imdb.com/title/tt10720816/,TV Movie
An American in Austen,2024,6.4,1204,https://www.imdb.com/title/tt31068337/,TV Movie
Ant-Man,2015,7.2,762819,https://www.imdb.com/title/tt0478970/,Movie
Ant-Man and the Wasp,2018,7,481514,https://www.imdb.com/title/tt5095030/,Movie
Ant-Man and the Wasp: Quantumania,2023,6,258793,https://www.imdb.com/title/tt10954600/,Movie
Anyone But You,2023,6.1,156004,https://www.imdb.com/title/tt26047818/,Movie
Aquaman,2018,6.8,543930,https://www.imdb.com/title/tt1477834/,Movie
Aquaman and the Lost Kingdom,2023,5.6,111545,https://www.imdb.com/title/tt9663764/,Movie
Argylle,2024,5.6,96035,https://www.imdb.com/title/tt15009428/,Movie
"TMZ Presents: Arnold & Sly - Rivals, Friends, Icons",2024,7.2,282,https://www.imdb.com/title/tt32129935/,TV Movie
Arthur the King,2024,7,36230,https://www.imdb.com/title/tt10720352/,Movie
Arthur's Whisky,2024,4.7,1071,https://www.imdb.com/title/tt27158093/,Movie
Asphalt City,2023,6.1,7967,https://www.imdb.com/title/tt9663896/,Movie
Assassin Club,2023,4.7,3904,https://www.imdb.com/title/tt7720142/,Movie
Aurora Teagarden Mysteries: A Game of Cat and Mouse,2019,7.1,1398,https://www.imdb.com/title/tt9759864/,TV Movie
Avengers: Endgame,2019,8.4,1389184,https://www.imdb.com/title/tt4154796/,Movie
Avengers: Infinity War,2018,8.4,1319271,https://www.imdb.com/title/tt4154756/,Movie
Avengers: Age of Ultron,2015,7.3,975439,https://www.imdb.com/title/tt2395427/,Movie
Awakenings,1990,7.8,172265,https://www.imdb.com/title/tt0099077/,Movie
Bad Boys: Ride or Die,2024,6.5,106398,https://www.imdb.com/title/tt4919268/,Movie
Baghead,2023,5.4,14833,https://www.imdb.com/title/tt14030816/,Movie
Bardejov,2024,4.8,187,https://www.imdb.com/title/tt30486099/,Movie
Batman v Superman: Dawn of Justice,2016,6.4,780682,https://www.imdb.com/title/tt2975590/,Movie
Beyond the Aggressives: 25 Years Later,2023,7.3,86,https://www.imdb.com/title/tt29344605/,Movie
Big Hero 6,2014,7.8,538514,https://www.imdb.com/title/tt2245084/,Movie
Big Voice,2015,7.9,99,https://www.imdb.com/title/tt2350782/,Movie
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,6.1,277623,https://www.imdb.com/title/tt7713068/,Movie
Black Adam,2022,6.2,297974,https://www.imdb.com/title/tt6443346/,Movie
Black Dynamite,2009,7.4,53704,https://www.imdb.com/title/tt1190536/,Movie
Black Noise,2023,3,2263,https://www.imdb.com/title/tt22805590/,Movie
Black Panther,2018,7.3,889311,https://www.imdb.com/title/tt1825683/,Movie
Black Panther: Wakanda Forever,2022,6.6,341075,https://www.imdb.com/title/tt9114286/,Movie
Black Warrant,2022,4.7,967,https://www.imdb.com/title/tt11696342/,Movie
Black Widow,2021,6.6,463532,https://www.imdb.com/title/tt3480822/,Movie
BlackBerry,2023,7.3,62972,https://www.imdb.com/title/tt21867434/,Movie
Blue Beetle,2023,5.9,112295,https://www.imdb.com/title/tt9362930/,Movie
Blue Ruin,2013,7.1,84579,https://www.imdb.com/title/tt2359024/,Movie
Blur,2022,3.7,173,https://www.imdb.com/title/tt9465624/,Movie
Branching Out,2024,7.2,1211,https://www.imdb.com/title/tt32045638/,TV Movie
Brandy Hellville & the Cult of Fast Fashion,2024,6.2,1125,https://www.imdb.com/title/tt31189910/,Movie
Brave,2012,7.1,468313,https://www.imdb.com/title/tt1217209/,Movie
Breakthrough,2019,6.3,11624,https://www.imdb.com/title/tt7083526/,Movie
Butcher's Crossing,2022,5.6,6932,https://www.imdb.com/title/tt1462759/,Movie
Camp Pleasant Lake,2024,3.3,2430,https://www.imdb.com/title/tt20864606/,Movie
Captain America: The First Avenger,2011,6.9,946914,https://www.imdb.com/title/tt0458339/,Movie
Captain America: Civil War,2016,7.8,903815,https://www.imdb.com/title/tt3498820/,Movie
Captain America: The Winter Soldier,2014,7.7,949593,https://www.imdb.com/title/tt1843866/,Movie
Captain Marvel,2019,6.7,643606,https://www.imdb.com/title/tt4154664/,Movie
Cars,2006,7.3,515045,https://www.imdb.com/title/tt0317219/,Movie
Cars 2,2011,6.2,243613,https://www.imdb.com/title/tt1216475/,Movie
Cars 3,2017,6.7,141972,https://www.imdb.com/title/tt3606752/,Movie
Cheerful Weather for the Wedding,2012,5.6,2519,https://www.imdb.com/title/tt1159922/,Movie
Coco,2017,8.4,668977,https://www.imdb.com/title/tt2380307/,Movie
CrimeTime: Freefall,2024,5.9,836,https://www.imdb.com/title/tt31068356/,TV Movie
Crown for Christmas,2015,6.9,6240,https://www.imdb.com/title/tt5133572/,TV Movie
Daddy's Perfect Little Girl,2021,4.9,511,https://www.imdb.com/title/tt12703842/,TV Movie
Damaged,2024,4.7,8016,https://www.imdb.com/title/tt27304026/,Movie
Damsel,2024,6.1,113521,https://www.imdb.com/title/tt13452446/,Movie
Dangerous Waters,2023,5.3,2697,https://www.imdb.com/title/tt20024428/,Movie
Daredevil,2003,5.3,238018,https://www.imdb.com/title/tt0287978/,Movie
X-Men: Dark Phoenix,2019,5.7,222032,https://www.imdb.com/title/tt6565702/,Movie
DarkGame,2024,4.6,2991,https://www.imdb.com/title/tt5613018/,Movie
Daybreakers,2009,6.4,139184,https://www.imdb.com/title/tt0433362/,Movie
Days of the Bagnold Summer,2019,6.6,2901,https://www.imdb.com/title/tt7343740/,Movie
Dead Shot,2023,5.5,3292,https://www.imdb.com/title/tt8019518/,Movie
Deadpool & Wolverine,2024,7.5,528724,https://www.imdb.com/title/tt6263850/,Movie
Demetri Martin: The Overthinker,2018,7.2,1970,https://www.imdb.com/title/tt7725144/,TV Special
Doctor Strange,2016,7.5,858469,https://www.imdb.com/title/tt1211837/,Movie
Doctor Strange in the Multiverse of Madness,2022,6.9,527063,https://www.imdb.com/title/tt9419884/,Movie
DogMan,2023,6.8,20517,https://www.imdb.com/title/tt17009348/,Movie
Double Down South,2022,6.1,674,https://www.imdb.com/title/tt19407666/,Movie
Drift,2023,6.3,794,https://www.imdb.com/title/tt20415224/,Movie
Drive-Away Dolls,2024,5.4,25836,https://www.imdb.com/title/tt19356262/,Movie
Drop the Needle,2023,7.6,111,https://www.imdb.com/title/tt21846524/,Movie
Dumb Money,2023,6.8,59703,https://www.imdb.com/title/tt13957560/,Movie
Easy Virtue,2008,6.6,23097,https://www.imdb.com/title/tt0808244/,Movie
Elemental,2023,7,155657,https://www.imdb.com/title/tt15789038/,Movie
Elio,2025,6.8,21851,https://www.imdb.com/title/tt4900148/,Movie
Emu Runner,2018,6.3,168,https://www.imdb.com/title/tt7275840/,Movie
Encanto,2021,7.2,287151,https://www.imdb.com/title/tt2953050/,Movie
Enter the Dragon,1973,7.6,118114,https://www.imdb.com/title/tt0070034/,Movie
Escaping the Madhouse: The Nellie Bly Story,2019,6.3,2324,https://www.imdb.com/title/tt8318648/,TV Movie
Eternals,2021,6.2,416202,https://www.imdb.com/title/tt9032400/,Movie
Everest,2015,7.1,242816,https://www.imdb.com/title/tt2719848/,Movie
Fantastic Four,2005,5.7,367456,https://www.imdb.com/title/tt0120667/,Movie
Fantastic Four,2015,4.3,188959,https://www.imdb.com/title/tt1502712/,Movie
Fantastic Four: Rise of the Silver Surfer,2007,5.6,293981,https://www.imdb.com/title/tt0486576/,Movie
Far from the Madding Crowd,2015,7.1,56421,https://www.imdb.com/title/tt2935476/,Movie
Far Haven,2023,5.7,531,https://www.imdb.com/title/tt23647954/,Movie
Field of Lost Shoes,2015,5.7,2294,https://www.imdb.com/title/tt2477218/,Movie
Final Destination,2000,6.7,323430,https://www.imdb.com/title/tt0195714/,Movie
Final Destination 2,2003,6.2,210721,https://www.imdb.com/title/tt0309593/,Movie
Final Destination 3,2006,5.9,178576,https://www.imdb.com/title/tt0414982/,Movie
Final Destination 5,2011,5.9,146043,https://www.imdb.com/title/tt1622979/,Movie
Final Destination: Bloodlines,2025,6.7,128911,https://www.imdb.com/title/tt9619824/,Movie
Finding Dory,2016,7.2,324908,https://www.imdb.com/title/tt2277860/,Movie
Finding Nemo,2003,8.2,1177112,https://www.imdb.com/title/tt0266543/,Movie
Fist of Fury,1972,7.2,36313,https://www.imdb.com/title/tt0068767/,Movie
Five Blind Dates,2024,5.1,2098,https://www.imdb.com/title/tt21236048/,Movie
Five Nights at Freddy's,2023,5.4,120271,https://www.imdb.com/title/tt4589218/,Movie
Frogman,2023,5,2119,https://www.imdb.com/title/tt21377766/,Movie
Frozen,2013,7.4,697057,https://www.imdb.com/title/tt2294629/,Movie
Frozen II,2019,6.8,211461,https://www.imdb.com/title/tt4520988/,Movie
Futurama: Bender's Big Score,2007,7.6,36106,https://www.imdb.com/title/tt0471711/,Video
Futurama: Bender's Game,2008,7.2,22345,https://www.imdb.com/title/tt1054486/,Video
Futurama: Into the Wild Green Yonder,2009,7.2,19861,https://www.imdb.com/title/tt1054487/,Video
Futurama: The Beast with a Billion Backs,2008,7.1,25688,https://www.imdb.com/title/tt1054485/,Video
Gifted,2017,7.6,154378,https://www.imdb.com/title/tt4481414/,Movie
Girl Lost,2016,6.1,7145,https://www.imdb.com/title/tt3115906/,Movie
Girls State,2024,6.6,1021,https://www.imdb.com/title/tt30259532/,Movie
God Is a Bullet,2023,5.8,8634,https://www.imdb.com/title/tt14270702/,Movie
Guardians of the Galaxy,2014,8,1334959,https://www.imdb.com/title/tt2015381/,Movie
Guardians of the Galaxy Vol. 2,2017,7.6,808348,https://www.imdb.com/title/tt3896198/,Movie
Guardians of the Galaxy Vol. 3,2023,7.9,447047,https://www.imdb.com/title/tt6791350/,Movie
Half of a Yellow Sun,2013,6.1,2254,https://www.imdb.com/title/tt2215077/,Movie
Happy Gilmore,1996,7,295623,https://www.imdb.com/title/tt0116483/,Movie
Happy Gilmore 2,2025,6.1,98036,https://www.imdb.com/title/tt31868189/,Movie
How to Date Billy Walsh,2024,5.2,4105,https://www.imdb.com/title/tt16156616/,Movie
How to Have Sex,2023,6.4,21410,https://www.imdb.com/title/tt22890246/,Movie
How to Train Your Dragon,2025,7.8,95227,https://www.imdb.com/title/tt26743210/,Movie
How to Train Your Dragon 2,2014,7.8,391059,https://www.imdb.com/title/tt1646971/,Movie
How to Train Your Dragon: Homecoming,2019,7.3,7594,https://www.imdb.com/title/tt11112140/,TV Movie
How to Train Your Dragon: The Hidden World,2019,7.4,171156,https://www.imdb.com/title/tt2386490/,Movie
Hypnotic,2023,5.5,44128,https://www.imdb.com/title/tt8080204/,Movie
I Am Street Fighter: 25 Years of Inspiration,2012,6,6,https://www.imdb.com/title/tt13519520/,Video
I Am Urban,2015,6.6,181,https://www.imdb.com/title/tt3590858/,Movie
I Know What You Did Last Summer,2025,5.2,25971,https://www.imdb.com/title/tt4045450/,Movie
I Know What You Did Last Summer,1997,5.8,174590,https://www.imdb.com/title/tt0119345/,Movie
I See You,2019,6.8,73019,https://www.imdb.com/title/tt6079516/,Movie
I Still Know What You Did Last Summer,1998,4.8,85482,https://www.imdb.com/title/tt0130018/,Movie
I.S.S.,2023,5.3,13151,https://www.imdb.com/title/tt13655120/,Movie
I'll Always Know What You Did Last Summer,2006,3.3,15405,https://www.imdb.com/title/tt0469111/,Video
Immaculate,2024,5.8,56488,https://www.imdb.com/title/tt23137390/,Movie
In the Land of Saints and Sinners,2023,6.4,28711,https://www.imdb.com/title/tt15782690/,Movie
Incredibles 2,2018,7.5,358556,https://www.imdb.com/title/tt3606756/,Movie
Infinite Storm,2022,5.3,12396,https://www.imdb.com/title/tt14060232/,Movie
Inheritance,2020,5.6,22709,https://www.imdb.com/title/tt7923220/,Movie
Inside Out,2015,8.1,884846,https://www.imdb.com/title/tt2096673/,Movie
Inside Out 2,2024,7.5,231598,https://www.imdb.com/title/tt22022452/,Movie
Ip Man 2,2010,7.5,114908,https://www.imdb.com/title/tt1386932/,Movie
Ip Man 3,2015,7,63226,https://www.imdb.com/title/tt2888046/,Movie
Ip Man 4: The Finale,2019,7,39529,https://www.imdb.com/title/tt2076298/,Movie
Iron Man,2008,7.9,1192804,https://www.imdb.com/title/tt0371746/,Movie
Iron Man 2,2010,6.9,916423,https://www.imdb.com/title/tt1228705/,Movie
Iron Man 3,2013,7.1,944807,https://www.imdb.com/title/tt1300854/,Movie
Justice League,2017,6,497329,https://www.imdb.com/title/tt0974015/,Movie
Karate Kid: Legends,2025,6.3,32522,https://www.imdb.com/title/tt1674782/,Movie
Katt Williams: Woke Foke,2024,5.2,1110,https://www.imdb.com/title/tt32046453/,TV Special
Killers of the Flower Moon,2023,7.5,290212,https://www.imdb.com/title/tt5537002/,Movie
Kim Possible,2019,3.8,3971,https://www.imdb.com/title/tt7979492/,TV Movie
Kim Possible: So the Drama,2005,7.1,5402,https://www.imdb.com/title/tt0446724/,TV Movie
Land of Bad,2024,6.6,55027,https://www.imdb.com/title/tt19864802/,Movie
Last Sentinel,2023,4.9,8265,https://www.imdb.com/title/tt5153956/,Movie
Late Night with the Devil,2023,7,135202,https://www.imdb.com/title/tt14966898/,Movie
Leroy & Stitch,2006,6.1,8147,https://www.imdb.com/title/tt0486761/,Video
Lightyear,2022,6.1,132883,https://www.imdb.com/title/tt10298810/,Movie
Lilo & Stitch,2025,6.7,75173,https://www.imdb.com/title/tt11655566/,Movie
Lilo & Stitch,2002,7.4,237351,https://www.imdb.com/title/tt0275847/,Movie
Lilo & Stitch 2: Stitch Has a Glitch,2005,6.2,20804,https://www.imdb.com/title/tt0457993/,Video
Lisa Frankenstein,2024,6.1,29671,https://www.imdb.com/title/tt21188080/,Movie
Little Lips,1978,5.3,1103,https://www.imdb.com/title/tt0077682/,Movie
Logan,2017,8.1,903905,https://www.imdb.com/title/tt3315342/,Movie
Losing Ground,1982,6.6,1011,https://www.imdb.com/title/tt0084269/,Movie
Love & Friendship,2016,6.4,27329,https://www.imdb.com/title/tt3068194/,Movie
Love and Sunshine,2019,7.1,1701,https://www.imdb.com/title/tt10369978/,TV Movie
